method,criterium,Name,F-Measure,Fps,PSNR,DRD,Recall,Rps,Pps
dyn_wgt_sc1_16_201e,error,1,94.0614,94.8798,20.8927,3.5466,92.3933,95.7908,94.235
dyn_wgt_sc1_16_201e,error,10,85.4413,82.8612,13.2583,4.1878,94.4638,77.9921,96.843
dyn_wgt_sc1_16_201e,error,2,81.343,91.7148,21.7619,5.4212,68.9501,99.1672,85.447
dyn_wgt_sc1_16_201e,error,3,94.0594,96.5289,22.4269,2.1809,92.9893,95.1545,98.6868
dyn_wgt_sc1_16_201e,error,4,77.6658,87.5016,16.822,8.0981,64.0432,98.6496,78.8212
dyn_wgt_sc1_16_201e,error,5,95.07,96.9547,21.7358,1.6566,94.4265,95.7224,99.1558
dyn_wgt_sc1_16_201e,error,6,85.9436,92.6997,17.8413,5.7366,79.4926,93.5342,92.0488
dyn_wgt_sc1_16_201e,error,7,85.2974,92.2177,15.6573,3.9736,75.1562,98.6024,86.8888
dyn_wgt_sc1_16_201e,error,8,86.3976,87.2723,13.9555,6.4789,88.8289,84.0958,93.5578
dyn_wgt_sc1_16_201e,error,9,89.8046,87.4696,15.9615,2.5805,92.3533,87.3928,91.4432
dyn_wgt_sc2_16_201e,error,1,94.1841,95.2065,21.0143,3.4531,91.8597,96.6292,94.0146
dyn_wgt_sc2_16_201e,error,10,87.1551,85.7726,13.9838,3.411,92.4143,82.4623,96.0048
dyn_wgt_sc2_16_201e,error,2,82.484,93.6407,21.9795,5.1185,70.831,98.7264,89.1864
dyn_wgt_sc2_16_201e,error,3,94.2433,96.6187,22.557,2.1176,93.3104,95.1951,98.8696
dyn_wgt_sc2_16_201e,error,4,80.3527,90.5473,17.3022,7.1144,67.4364,99.389,83.2056
dyn_wgt_sc2_16_201e,error,5,95.1173,96.7324,21.758,1.6818,94.9008,95.3347,99.1756
dyn_wgt_sc2_16_201e,error,6,87.8679,95.172,18.4224,4.9065,82.3696,94.1528,96.4034
dyn_wgt_sc2_16_201e,error,7,90.9048,97.0901,17.5193,2.3621,84.3332,98.5871,95.9991
dyn_wgt_sc2_16_201e,error,8,85.4883,86.7582,13.7912,6.9155,85.5632,85.4135,90.2233
dyn_wgt_sc2_16_201e,error,9,90.0592,87.7507,15.9425,2.6902,95.4042,85.2813,95.3865
dyn_wgt_sc2_4equal_201e,error,1,94.2754,95.3129,21.0943,3.3939,91.7085,96.9901,93.8516
dyn_wgt_sc2_4equal_201e,error,10,87.5921,85.5562,14.1032,3.2941,93.5421,82.3538,95.9934
dyn_wgt_sc2_4equal_201e,error,2,80.7316,91.8413,21.6423,5.6078,68.1102,99.0948,85.6259
dyn_wgt_sc2_4equal_201e,error,3,94.2648,96.8478,22.5937,2.0939,92.8935,95.6772,98.6998
dyn_wgt_sc2_4equal_201e,error,4,77.2869,88.043,16.7724,8.1656,63.3872,98.9946,79.3583
dyn_wgt_sc2_4equal_201e,error,5,95.3219,97.2073,21.9748,1.5709,94.4329,96.2278,99.0727
dyn_wgt_sc2_4equal_201e,error,6,87.1459,94.7246,18.2465,5.0655,80.2917,95.2796,94.3351
dyn_wgt_sc2_4equal_201e,error,7,87.9548,94.4119,16.4459,3.234,78.8892,99.3747,90.0566
dyn_wgt_sc2_4equal_201e,error,8,85.0796,87.2771,13.8321,6.7753,82.0452,88.347,87.9174
dyn_wgt_sc2_4equal_201e,error,9,90.4229,87.7413,16.1605,2.5162,94.5591,86.6334,93.1759
dyn_wgt_sc2_64_201e,error,1,92.5771,93.4026,19.8581,4.4351,92.3239,92.8317,94.4935
dyn_wgt_sc2_64_201e,error,10,79.9894,76.9388,11.9653,5.4736,86.6548,74.2762,89.0027
dyn_wgt_sc2_64_201e,error,2,83.377,89.3658,21.9547,5.1051,75.8763,92.5232,87.117
dyn_wgt_sc2_64_201e,error,3,90.4462,91.5598,20.161,3.9384,93.6842,87.4245,98.3083
dyn_wgt_sc2_64_201e,error,4,83.7202,92.019,17.9125,6.1241,73.6792,96.9298,87.9308
dyn_wgt_sc2_64_201e,error,5,91.7734,92.5001,19.3583,2.9798,94.4374,89.2556,98.5448
dyn_wgt_sc2_64_201e,error,6,86.2146,91.7825,17.6714,6.3742,84.555,87.9406,96.5139
dyn_wgt_sc2_64_201e,error,7,81.2293,86.3325,14.5246,5.1038,72.7661,91.9202,83.0191
dyn_wgt_sc2_64_201e,error,8,82.0659,83.7945,12.7488,9.0407,84.4918,79.7754,91.4029
dyn_wgt_sc2_64_201e,error,9,85.4388,82.6731,14.4095,3.816,87.9458,83.0708,87.2961
dyn_wgt_sc4_16_201e,error,1,93.747,94.5853,20.6597,3.7929,92.2759,95.2659,94.1745
dyn_wgt_sc4_16_201e,error,10,86.6588,85.5967,13.8102,3.6367,92.0765,81.8432,96.1449
dyn_wgt_sc4_16_201e,error,2,81.994,92.6722,21.8863,5.2468,69.9809,98.9863,87.2214
dyn_wgt_sc4_16_201e,error,3,93.9388,96.0074,22.2926,2.3576,93.8806,93.997,98.9624
dyn_wgt_sc4_16_201e,error,4,79.876,90.0151,17.2041,7.3328,66.9439,99.001,82.616
dyn_wgt_sc4_16_201e,error,5,94.9899,96.3757,21.6266,1.7748,95.2021,94.7786,99.1375
dyn_wgt_sc4_16_201e,error,6,87.1146,94.1181,18.1523,5.345,81.8237,93.137,95.3859
dyn_wgt_sc4_16_201e,error,7,88.7614,95.2933,16.6782,2.9665,80.8809,98.3433,92.858
dyn_wgt_sc4_16_201e,error,8,86.1379,88.0671,14.0696,6.3029,84.6484,87.6808,90.3042
dyn_wgt_sc4_16_201e,error,9,90.0034,87.8403,16.0002,2.6073,93.5606,86.7069,93.3128
no_wgt_sc2_16_201e,error,1,94.0245,94.8289,20.87,3.5866,92.2705,95.8465,94.0648
no_wgt_sc2_16_201e,error,10,87.3143,85.7907,14.0324,3.3407,92.7005,82.5196,95.8881
no_wgt_sc2_16_201e,error,2,81.5051,91.8739,21.7936,5.3667,69.1862,99.1612,85.7064
no_wgt_sc2_16_201e,error,3,94.1754,96.1238,22.467,2.2284,94.0859,94.2651,98.9026
no_wgt_sc2_16_201e,error,4,78.3459,88.4457,16.9495,7.804,64.7052,99.2742,79.811
no_wgt_sc2_16_201e,error,5,95.1432,96.4285,21.7577,1.6891,95.4412,94.8472,99.192
no_wgt_sc2_16_201e,error,6,86.0397,93.3922,17.8786,5.6531,79.444,93.8296,93.0659
no_wgt_sc2_16_201e,error,7,86.6626,93.5535,16.0207,3.5465,77.4195,98.4119,89.4847
no_wgt_sc2_16_201e,error,8,85.5162,87.846,13.9219,6.572,83.2136,87.9498,89.4569
no_wgt_sc2_16_201e,error,9,90.173,88.002,16.1614,2.4338,91.8807,88.5277,90.9637
stat_wgt05_sc2_16_201e,error,1,93.8669,94.1033,20.7074,3.7278,93.1715,94.5727,94.0215
stat_wgt05_sc2_16_201e,error,10,79.6138,75.1312,11.3529,7.2585,97.481,67.2818,98.7085
stat_wgt05_sc2_16_201e,error,2,86.234,94.0818,22.8342,4.1096,77.3917,97.3574,91.46
stat_wgt05_sc2_16_201e,error,3,94.5924,95.7947,22.7477,2.0169,95.4189,93.7801,99.1497
stat_wgt05_sc2_16_201e,error,4,83.6516,91.5455,17.9414,6.0604,72.8233,98.2626,85.867
stat_wgt05_sc2_16_201e,error,5,95.1349,95.7945,21.7021,1.6964,96.4982,93.8097,99.3126
stat_wgt05_sc2_16_201e,error,6,88.8247,93.5211,18.5833,5.0021,87.1084,90.61,97.2123
stat_wgt05_sc2_16_201e,error,7,92.1657,94.2712,17.9244,2.1856,90.4246,93.9752,96.3806
stat_wgt05_sc2_16_201e,error,8,84.1089,82.8257,12.9475,8.6613,93.3588,76.5266,95.5648
stat_wgt05_sc2_16_201e,error,9,86.1305,82.4131,14.2286,4.2188,97.0371,77.4278,96.5105
stat_wgt20_sc2_16_201e,error,1,93.7088,95.4891,20.7332,3.6057,90.1414,97.5703,93.6067
stat_wgt20_sc2_16_201e,error,10,87.461,87.0407,14.2201,3.1356,89.9697,85.0885,94.4186
stat_wgt20_sc2_16_201e,error,2,76.5796,88.6403,20.9653,6.6798,62.1204,99.8119,79.7451
stat_wgt20_sc2_16_201e,error,3,93.5544,97.3754,22.1754,2.2218,90.3258,97.0223,98.2184
stat_wgt20_sc2_16_201e,error,4,73.5804,84.8875,16.2675,9.3621,58.2771,99.7829,73.8737
stat_wgt20_sc2_16_201e,error,5,94.4759,97.6719,21.3353,1.8219,91.8355,97.2726,98.6618
stat_wgt20_sc2_16_201e,error,6,84.8442,93.5569,17.6325,5.865,76.3668,95.4388,91.8632
stat_wgt20_sc2_16_201e,error,7,79.8949,89.2352,14.5293,5.2683,66.7486,99.4895,80.9834
stat_wgt20_sc2_16_201e,error,8,84.3772,87.8343,13.7914,6.6886,78.4418,91.2844,85.7704
stat_wgt20_sc2_16_201e,error,9,89.8455,88.5771,16.1583,2.3905,88.6579,91.0654,88.7444
